Breviolum180235	Peroxisomal biogenesis factor 7
Breviolum68149	Belongs to the universal ribosomal protein uS17 family
Breviolum206201	potassium:proton antiporter activity
Breviolum85213	Responsible for synthesis of pseudouridine from uracil
Breviolum19471	dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity
Breviolum286448	Aspartyl/Asparaginyl beta-hydroxylase
Breviolum56227	L-malate dehydrogenase activity
Breviolum6491	Mitogen-activated protein kinase
Breviolum54195	ATP-dependent DNA helicase
Breviolum195463	Valosin containing protein lysine (K) methyltransferase
Breviolum93007	Sec63 Brl domain
Breviolum156689	stress-activated protein kinase signaling cascade
Breviolum110969	anterograde neuronal dense core vesicle transport
Breviolum31199	ATP binding
Breviolum134105	NAD( )-dependent glutamate dehydrogenase which degrades glutamate to ammonia and alpha-ketoglutarate
Breviolum291229	Belongs to the thioredoxin family
Breviolum130640	Class II Aldolase and Adducin N-terminal domain
Breviolum57893	Sulfite exporter TauE/SafE
Breviolum69953	Peptidyl-prolyl cis-trans isomerase
Breviolum176928	adenosine deaminase activity
Breviolum66227	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
Breviolum175745	Ion transport protein
Breviolum285197	Phosphoinositide 3-kinase regulatory subunit
Breviolum94177	1-phosphatidylinositol-3-phosphate 5-kinase activity
Breviolum119017	Chlorophyll A-B binding protein
Breviolum36349	Methionine biosynthesis protein MetW
Breviolum124646	Cleft lip and palate transmembrane protein 1 (CLPTM1)
Breviolum13259	purine nucleosidase activity
Breviolum107680	Pancreatic alpha-amylase-like
Breviolum274368	PFAM ATPase family associated with various cellular activities (AAA)
Breviolum24878	metalloexopeptidase activity
Breviolum94819	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks
Breviolum211315	dynein intermediate chain binding
Breviolum162555	Syntaxin 6, N-terminal
Breviolum306697	palmitoyl-(protein) hydrolase activity
Breviolum76878	Centriolar protein SAS N-terminal
Breviolum16711	Beta-ketoacyl synthase, N-terminal domain
Breviolum32229	negative regulation of inclusion body assembly
Breviolum173719	CGMP-dependent protein kinase
Breviolum15047	glucose import
Breviolum270742	Sodium:solute symporter family
Breviolum273758	Ricin-type beta-trefoil
Breviolum94663	Ras-related protein Rab-21
Breviolum2852	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Breviolum175174	Ubiquitin Carboxyl-terminal Hydrolase-like zinc finger
Breviolum127566	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Breviolum94796	calcium:sodium antiporter activity
Breviolum50147	exonuclease
Breviolum7176	Peptidyl-prolyl cis-trans
Breviolum77132	AFG1-like ATPase
Breviolum36392	FAD synthetase
Breviolum20494	Belongs to the glycosyl hydrolase 5 (cellulase A) family
Breviolum46903	PFAM Cysteine-rich secretory protein family
Breviolum74733	DNA-(Apurinic or apyrimidinic site) lyase
Breviolum82510	Belongs to the peptidase C2 family
Breviolum39693	Helicase associated domain (HA2)  Add an annotation
Breviolum21860	protein serine/threonine kinase activity
Breviolum75398	vesicle-mediated transport
Breviolum279607	Major Facilitator Superfamily
Breviolum310809	Enoyl-(Acyl carrier protein) reductase
Breviolum174062	PFAM phospholipase Carboxylesterase
Breviolum259979	Catalytic subunit of the ferredoxin-thioredoxin reductase (FTR), which catalyzes the two-electron reduction of thioredoxins by the electrons provided by reduced ferredoxin
Breviolum92614	RNA uridylyltransferase activity
Breviolum84340	Phosphopantetheine attachment site
Breviolum157689	L-ornithine transmembrane transporter activity
Breviolum75991	Vacuolar protein sorting-associated protein 26
Breviolum207553	Cyclin-dependent kinase inhibitor 3 (CDKN3)
Breviolum88825	Belongs to the DHHC palmitoyltransferase family
Breviolum41528	Integral membrane protein TerC family
Breviolum277776	Ras of Complex, Roc, domain of DAPkinase
Breviolum206747	Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
Breviolum84815	Ion transport protein
Breviolum58060	Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs
Breviolum20393	-
Breviolum154853	LicD family
Breviolum172803	Calmodulin-like protein
Breviolum22316	6phosphofructo2kinase
Breviolum244956	RNA 2'-phosphotransferase, Tpt1 / KptA family
Breviolum69750	Heat shock chaperonin-binding motif.
Breviolum98416	pre-mRNA-processing-splicing factor
Breviolum158224	Catalyzes the reduction of 1-pyrroline-5-carboxylate (PCA) to L-proline
Breviolum84582	Chlorophyll A-B binding protein
Breviolum79211	RED-like protein N-terminal region
Breviolum64919	CAP_GLY
Breviolum101971	Zinc-binding domain, present in Dystrophin, CREB-binding protein.
Breviolum74497	serine-type endopeptidase activity
Breviolum21888	D-glycerate 3-kinase
Breviolum243254	Prolyl oligopeptidase family
Breviolum163250	Ring finger domain
Breviolum241637	Required for the assembly and or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits
Breviolum146805	GTP-binding protein
Breviolum204685	RIO1 family
Breviolum238889	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone
Breviolum102684	PA domain
Breviolum176407	photosynthetic electron transport chain
Breviolum77878	Sir2 family
Breviolum138900	NADPH oxidase
Breviolum218981	Acyl CoA binding protein
Breviolum177152	Binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function
Breviolum24188	guanine nucleotide exchange
Breviolum38877	alkylated DNA
Breviolum40842	Domain of unknown function (DUF1768)
Breviolum92258	Pentatricopeptide repeat
Breviolum220027	PFAM heat shock protein DnaJ domain protein, chaperone DnaJ domain protein
Breviolum38244	Ankyrin repeat
Breviolum67593	triose-phosphate isomerase activity
Breviolum119843	DEAH (Asp-Glu-Ala-His) box polypeptide 36
Breviolum42608	microtubule motor activity
Breviolum114907	Belongs to the small GTPase superfamily. Arf family
Breviolum79218	RNA uridylyltransferase activity
Breviolum103894	Carbonic anhydrase
Breviolum240025	May be involved in fusion of retrograde transport vesicles derived from an endocytic compartment with the Golgi complex
Breviolum147249	Protease Do-like 10
Breviolum172027	cytochrome C oxidase assembly factor COX15
Breviolum101035	acetyl-CoA C-acyltransferase activity
Breviolum242515	ammonium transmembrane transporter activity
Breviolum64302	Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
Breviolum156754	initiation factor 4E
Breviolum87448	Belongs to the aspartokinase family
Breviolum84565	ABC transporter transmembrane region
Breviolum17047	ATPase activity, coupled to transmembrane movement of substances
Breviolum241845	Beta-lactamase
Breviolum209792	AAA domain
Breviolum16134	[acyl-carrier-protein] S-malonyltransferase activity
Breviolum93617	Flavoprotein Involved In K Transport
Breviolum209650	Belongs to the peptidase C1 family
Breviolum142459	Belongs to the glycosyl hydrolase 43 family
Breviolum111127	Elongation factor 2
Breviolum46364	heat shock protein binding
Breviolum116173	Scaffold protein Nfu/NifU N terminal
Breviolum101806	Nitroreductase family
Breviolum6570	dynein light chain binding
Breviolum152572	Belongs to the AAA ATPase family
Breviolum177172	EF-hand domain
Breviolum102635	Catalyzes the epimerization of the S- and R-forms of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. This is a prerequisite for the S- specific NAD(P)H-hydrate dehydratase to allow the repair of both epimers of NAD(P)HX
Breviolum6326	Chaperone protein which promotes assembly of the 20S proteasome as part of a heterodimer with PSMG1
Breviolum278841	chloride channel
Breviolum15936	Starch binding domain
Breviolum76591	protein polyglutamylation
Breviolum18747	Uncharacterized conserved protein (COG2071)
Breviolum0	Peroxidase
Breviolum243570	Glutaredoxin 2, C terminal domain
Breviolum72966	Dimethylglycine dehydrogenase
Breviolum52868	protein polyglycylation
Breviolum241870	Belongs to the peptidase S14 family
Breviolum24452	Catalyzes both the ATP-dependent activation of exogenously supplied lipoate to lipoyl-AMP and the transfer of the activated lipoyl onto the lipoyl domains of lipoate-dependent enzymes
Breviolum98080	RNA-binding protein mei2 homologue
Breviolum58871	cyclin-dependent protein serine/threonine kinase activity
Breviolum270974	phosphate ion transmembrane transport
Breviolum99047	Belongs to the class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family
Breviolum106514	cysteine-type peptidase activity
Breviolum76945	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Breviolum58902	ATPase family associated with various cellular activities (AAA)
Breviolum245377	snRNP Sm proteins
Breviolum111855	Adenylate kinase, active site lid
Breviolum132104	oxidation-reduction process
Breviolum20005	Cytochrome P450
Breviolum41476	May be involved in fusion of retrograde transport vesicles derived from an endocytic compartment with the Golgi complex
Breviolum134703	5'-3' exoribonuclease
Breviolum207018	-
Breviolum92493	Aspartyl protease family A22B. Source PGD
Breviolum32794	calcium-dependent cysteine-type endopeptidase activity
Breviolum43419	Binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function
Breviolum92084	PPPDE putative peptidase domain
Breviolum60151	zinc ion binding
Breviolum138651	plant-type cell wall cellulose biosynthetic process
Breviolum15540	RNA-binding protein mei2 homologue
Breviolum243441	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins
Breviolum6406	atp-binding cassette sub-family g member
Breviolum70126	Glucose dehydrogenase C-terminus
Breviolum161050	Ubiquitin fusion degradation
Breviolum277804	fructose 1,6-bisphosphate 1-phosphatase activity
Breviolum177951	RNA recognition motif 2 family protein
Breviolum157931	3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity
Breviolum67201	phosphatase
Breviolum42306	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Breviolum158088	belongs to the protein kinase superfamily
Breviolum210714	WD domain, G-beta repeat
Breviolum80750	NAD-dependent protein deacetylase, SIR2 family
Breviolum156502	glycerone-phosphate O-acyltransferase activity
Breviolum189619	deSI-like protein At4g17486
Breviolum16306	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Breviolum10493	Tryptophanyl-tRNA synthetase. Source PGD
Breviolum112735	to Saccharomyces cerevisiae MCA1 (YOR197W)
Breviolum128695	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate
Breviolum115204	Flavoprotein (FP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)
Breviolum30885	COG5265 ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components
Breviolum176947	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs
Breviolum75974	Diacylglycerol kinase catalytic domain (presumed)
Breviolum143182	oligosaccharyl transferase activity
Breviolum61932	Inhibitor of apoptosis-promoting Bax1
Breviolum281043	microtubule motor activity
Breviolum65344	eel-Fucolectin Tachylectin-4 Pentaxrin-1 Domain
Breviolum306099	Vacuolar ATP synthase subunit D
Breviolum162715	prolyl 4-hydroxylase
Breviolum18866	Belongs to the pseudouridine synthase RsuA family
Breviolum306014	receptor-like protein kinase
Breviolum101210	L-type lectin-domain containing receptor kinase
Breviolum244507	Domain of unknown function (DUF1768)
Breviolum59004	Belongs to the peptidase M10A family
Breviolum55382	RING-type zinc-finger
Breviolum57731	Structural maintenance of chromosomes protein
Breviolum130651	Dynein heavy chain
Breviolum137541	Calcium calmodulin-dependent protein kinase
Breviolum58559	FKBP-type peptidyl-prolyl cis-trans isomerase
Breviolum272037	Nitric oxide synthase-interacting
Breviolum178291	ABC1 family
Breviolum40116	serine threonine protein kinase
Breviolum17542	aspartic-type endopeptidase activity
Breviolum46071	1-phosphatidylinositol-3-kinase activity
Breviolum17661	ATP-dependent protease La (LON) substrate-binding domain
Breviolum242318	It is involved in the biological process described with mitotic nuclear division
Breviolum77749	Doublecortin
Breviolum281451	Oxidoreductase family, NAD-binding Rossmann fold
Breviolum48603	cellular response to interleukin-11
Breviolum46317	WD domain, G-beta repeat
Breviolum40737	FAD binding
Breviolum172289	E3 ubiquitin-protein ligase
Breviolum76856	Calcium-dependent protein kinase
Breviolum24145	microtubule-based process
Breviolum242291	Belongs to the protein kinase superfamily
Breviolum177941	ubiquinone-6 biosynthetic process
Breviolum57467	ATP citrate synthase activity
Breviolum37840	Glycosyl transferases group 1
Breviolum16347	voltage-gated chloride channel activity
Breviolum212236	Casein kinase
Breviolum157266	Archease protein family (MTH1598/TM1083)
